geo,pps_per_inhabitant_million_euros,available_hospital_beds_per_100k,real_labour_productivity_per_person_employed_2019_base_year,railway_km_per_square_km,raw_milk_on_farms,pop_density_per_square_km,net_migration_per_capita,count_of_all_crime_per_100k,percentage_individuals_regularly_using_internet,average_age_for_people_above_18,F:M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ,fertility_rate,poverty_rate,life_expectancy,gender_employment_gap_percentage
BE32,22800.0,610.59,99.9,,385.32,354.8,352.0,4361.39,82.5,49.38587213898483,1.0820856763511402,22299.43,20900.0,55.7,0.3005,1.6254,0.295,79.6,6.9
BE32,22800.0,610.59,99.9,,385.32,354.8,849.0,4361.39,82.5,49.38587213898483,1.0820856763511402,22299.43,20900.0,55.7,0.3005,1.6254,0.295,79.6,6.9
BE32,22800.0,610.59,99.9,,385.32,354.8,665.0,4361.39,82.5,49.38587213898483,1.0820856763511402,22299.43,20900.0,55.7,0.3005,1.6254,0.295,79.6,6.9
BE32,22800.0,610.59,99.9,,385.32,354.8,451.0,4361.39,82.5,49.38587213898483,1.0820856763511402,22299.43,20900.0,55.7,0.3005,1.6254,0.295,79.6,6.9
BE33,26100.0,571.76,100.1,,537.63,289.7,553.0,4793.32,88.19,49.271445130718845,1.0621608991284437,18998.66,22700.0,59.0,0.35,1.62042,0.253,80.53333333333333,8.2
BE33,26100.0,571.76,100.1,,537.63,289.7,1005.0,4793.32,88.19,49.271445130718845,1.0621608991284437,18998.66,22700.0,59.0,0.35,1.62042,0.253,80.53333333333333,8.2
BE33,26100.0,571.76,100.1,,537.63,289.7,604.0,4793.32,88.19,49.271445130718845,1.0621608991284437,18998.66,22700.0,59.0,0.35,1.62042,0.253,80.53333333333333,8.2
BE33,26100.0,571.76,100.1,,537.63,289.7,301.0,4793.32,88.19,49.271445130718845,1.0621608991284437,18998.66,22700.0,59.0,0.35,1.62042,0.253,80.53333333333333,8.2
BE33,26100.0,571.76,100.1,,537.63,289.7,384.0,4793.32,88.19,49.271445130718845,1.0621608991284437,18998.66,22700.0,59.0,0.35,1.62042,0.253,80.53333333333333,8.2
BE34,22500.0,405.35,100.5,,165.13,64.6,192.0,2782.15,88.1,48.405734651910734,1.0182304326689353,5180.69,25000.0,65.3,0.3785,1.76202,0.18100000000000002,80.63333333333333,7.9
BE34,22500.0,405.35,100.5,,165.13,64.6,108.0,2782.15,88.1,48.405734651910734,1.0182304326689353,5180.69,25000.0,65.3,0.3785,1.76202,0.18100000000000002,80.63333333333333,7.9
BE34,22500.0,405.35,100.5,,165.13,64.6,145.0,2782.15,88.1,48.405734651910734,1.0182304326689353,5180.69,25000.0,65.3,0.3785,1.76202,0.18100000000000002,80.63333333333333,7.9
BE34,22500.0,405.35,100.5,,165.13,64.6,213.0,2782.15,88.1,48.405734651910734,1.0182304326689353,5180.69,25000.0,65.3,0.3785,1.76202,0.18100000000000002,80.63333333333333,7.9
BE34,22500.0,405.35,100.5,,165.13,64.6,248.0,2782.15,88.1,48.405734651910734,1.0182304326689353,5180.69,25000.0,65.3,0.3785,1.76202,0.18100000000000002,80.63333333333333,7.9
BE35,24500.0,512.68,99.4,,182.91,135.9,386.0,3435.16,85.8,49.13141935124909,1.0576165522696406,8742.37,24700.0,60.8,0.3551775887943972,1.53616,0.20600000000000002,80.26666666666667,5.1
BE35,24500.0,512.68,99.4,,182.91,135.9,1334.0,3435.16,85.8,49.13141935124909,1.0576165522696406,8742.37,24700.0,60.8,0.3551775887943972,1.53616,0.20600000000000002,80.26666666666667,5.1
BE35,24500.0,512.68,99.4,,182.91,135.9,41.0,3435.16,85.8,49.13141935124909,1.0576165522696406,8742.37,24700.0,60.8,0.3551775887943972,1.53616,0.20600000000000002,80.26666666666667,5.1
BG3,,,,,,,,,,,,,,,,,0.37,,
BG31,10100.0,792.68,116.4,34.0,120.0,39.0,-680.0,672.1,62.22,53.529044448294925,1.0770053365963004,5172.02,3300.0,60.2,0.1815,1.90808,0.413,73.86666666666667,7.5
BG31,10100.0,792.68,116.4,34.0,120.0,39.0,-731.0,672.1,62.22,53.529044448294925,1.0770053365963004,5172.02,3300.0,60.2,0.1815,1.90808,0.413,73.86666666666667,7.5
BG31,10100.0,792.68,116.4,34.0,120.0,39.0,-1423.0,672.1,62.22,53.529044448294925,1.0770053365963004,5172.02,3300.0,60.2,0.1815,1.90808,0.413,73.86666666666667,7.5
BG31,10100.0,792.68,116.4,34.0,120.0,39.0,-1380.0,672.1,62.22,53.529044448294925,1.0770053365963004,5172.02,3300.0,60.2,0.1815,1.90808,0.413,73.86666666666667,7.5
BG31,10100.0,792.68,116.4,34.0,120.0,39.0,-685.0,672.1,62.22,53.529044448294925,1.0770053365963004,5172.02,3300.0,60.2,0.1815,1.90808,0.413,73.86666666666667,7.5
BG32,11100.0,674.11,109.7,43.0,119.0,53.1,-876.0,539.8100000000001,69.05,52.9067078033158,1.1042318609159278,5990.88,3900.0,69.8,0.2535,1.77018,0.359,74.66666666666667,8.6
BG32,11100.0,674.11,109.7,43.0,119.0,53.1,-540.0,539.8100000000001,69.05,52.9067078033158,1.1042318609159278,5990.88,3900.0,69.8,0.2535,1.77018,0.359,74.66666666666667,8.6
