DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT34,2016,3.4,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT34,2017,3.7,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT34,2018,3.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT34,2019,3.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT34,2020,3.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT34,2021,4.1,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT34,2022,3.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT34,2023,3.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2012,17.4,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2013,19.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2014,18.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2015,17.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2016,16.8,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2017,14.8,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2018,13.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2019,12.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2020,12.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2021,12.3,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2022,11.4,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE10,2023,10.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2012,5.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2013,6.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2014,6.1,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2015,6.1,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2016,6.1,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2017,5.9,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2018,4.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2019,3.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2020,4.0,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2021,5.2,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2022,4.0,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE21,2023,3.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2012,4.7,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2013,5.5,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2014,5.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2015,6.0,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2016,4.8,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2017,4.1,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2018,3.8,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,BE22,2019,3.6,
