geo,purchasing_power_standard_per_inhabitant,real_labour_productivity_per_person_employed_2019_base_year,raw_milk_on_farms,pop_density_per_square_km,net_migration_per_capita,count_of_all_crime_per_100k,average_age_for_people_above_18,F:M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ,fertility_rate,poverty_rate,life_expectancy,gender_employment_gap_proportion
DE71,48000.0,100.1,196.93,542.2,0.00018046598443366966,1821.36,49.98677199896064,1.0461555276717038,91784.46,33700.0,76.3,0.324,1.55,0.135,82.1,0.098
DE72,32300.0,104.7,253.55,194.9,0.0027215272517653127,1273.51,50.204946027302164,1.0405208328495326,21472.97,27200.0,73.7,0.266,1.45,0.171,81.0,0.105
DE73,34300.0,102.9,542.5,147.5,0.0002834105969427822,1478.17,51.565148948130684,1.0327976828155379,25023.29,26300.0,77.0,0.23988005997001496,1.58,0.153,81.3,0.085
DE80,26800.0,105.1,1486.96,71.3,0.0005655211651426059,1630.94,53.31450334831237,1.0420473952927733,30264.71,21600.0,74.9,0.24600000000000002,1.54,0.23199999999999998,80.3,0.033
DE91,46400.0,117.8,183.13,197.3,0.0013829841873863862,1776.42,51.34070559065741,1.034063337677336,33212.33,28000.0,74.4,0.27199999999999996,1.55,0.18100000000000002,80.6,0.084
DE92,36100.0,102.7,612.2,239.0,0.0004743173124998627,2204.7999999999997,51.24999305415867,1.0565810690201733,43968.69,27500.0,75.3,0.26413206603301653,1.53,0.17600000000000002,81.0,0.069
DE93,26600.0,101.2,2838.67,111.4,0.00015176677660920442,1751.2900000000002,51.916607309767,1.0445524037575982,36559.28,28500.0,77.7,0.22300000000000003,1.68,0.162,80.9,0.079
DE94,33400.0,101.2,3608.83,169.8,0.00033422922683789326,1647.67,50.39012252963859,1.0286896077295888,51400.34,27000.0,76.5,0.21160580290145067,1.66,0.171,81.0,0.099
DEA1,38500.0,100.5,1061.79,1006.7,0.00022070948876129509,2548.52,51.00009922149115,1.071349652733901,107995.6,28500.0,72.5,0.2475,1.55,0.205,80.7,0.109
DEA2,39500.0,99.1,656.69,613.4,0.0002247502052198475,2601.24,49.943400358635124,1.058509917418003,94356.4,29800.0,73.6,0.28735632183908044,1.5,0.19699999999999998,81.3,0.08
DEA3,31500.0,102.2,906.14,380.1,0.00044839293427144627,2028.6799999999998,50.50770373325221,1.0517608143837245,53563.27,27100.0,74.7,0.23799999999999996,1.62,0.184,81.1,0.087
DEA4,35800.0,101.0,478.9,316.3,0.0005189740411910214,1598.09,50.67964504246417,1.0458886120927717,43890.2,28300.0,76.0,0.223,1.66,0.155,81.6,0.10300000000000001
DEA5,32600.0,100.7,533.82,449.1,0.00043382717068257036,2299.8999999999996,51.03970010148472,1.0526111144958321,72662.83,26700.0,72.8,0.215,1.58,0.185,80.4,0.09300000000000001
DEB1,31400.0,102.0,270.89,186.7,0.00014161414383175212,1387.21,51.7924472967599,1.041139698646136,31570.35,27800.0,77.5,0.24549999999999997,1.62,0.198,81.1,0.102
DEB2,28400.0,102.4,474.98,108.5,0.0029092950732827224,1379.84,50.64469975084826,1.024061986509673,11058.82,28400.0,79.6,0.27299999999999996,1.49,0.214,81.7,0.075
