"regionname.x","nuts2.x","year.x","total_votes","total_weighted_score","weighted_avg_left_right"
"Severozápad","CZ04",2019,166913,1030228.176,6.1722464757089
"Shropshire and Staffordshire","UKG2",2019,355568,2363863.9182,6.64813458522702
"Sicilia","ITG1",2019,953651,6060560.7189,6.35511389271337
"Sjælland","DK02",2019,360641,1904799.604,5.28170564078959
"Småland med öarna","SE21",2019,329940,1907498.4398,5.78134945687095
"Sostinės regionas","LT01",2019,206247,1191663.8848,5.77784833136967
"South","",2019,611795,2870187.3721,4.69142011964792
"South Yorkshire","UKE3",2019,303199,1871195.6904,6.17151009864808
"Southern Scotland","UKM9",2019,207686,1282120.9747,6.17336255067747
"Steiermark","AT22",2019,531459,3013579.192,5.67038885784228
"Stockholm","SE11",2019,904496,4991203.3105,5.51821490697582
"Stredné Slovensko","SK03",2019,177679,1096328.8063,6.17027789609352
"Stuttgart","DE11",2019,1562880,7967836.7993,5.09817567522778
"Střední Morava","CZ07",2019,231096,1436838.5459,6.21749639067747
"Střední Čechy","CZ02",2019,267854,1705315.4398,6.36658567652527
"Sud - Muntenia","RO31",2019,1133198,5721166.041,5.04869055628407
"Sud-Est","RO22",2019,932351,4867898.5712,5.2211008206137
"Sud-Vest Oltenia","RO41",2019,773134,3730048.0326,4.82458155067556
"Surrey, East and West Sussex","UKJ2",2019,761935,4556228.5429,5.97981263874215
"Syddanmark","DK03",2019,523336,2830605.2845,5.40877234606448
"Sydsverige","SE22",2019,557772,3302471.9021,5.92082768962945
"Tees Valley and Durham","UKC1",2019,238721,1565032.675,6.55590700022202
"Thüringen","DEG0",2019,892969,4838936.5083,5.41893000574488
"Tirol","AT33",2019,282123,1586515.1223,5.62348735232505
"Toscana","ITI1",2019,1412687,7814640.782,5.53175670336033
"Trier","DEB2",2019,231648,1154748.1044,4.98492585474513
"Tübingen","DE14",2019,744214,3784505.3572,5.08523805948289
"Umbria","ITI2",2019,337524,2085855.465,6.17987303125111
"Unterfranken","DE26",2019,528966,3063189.231,5.79090004083438
"Utrecht","NL31",2019,367097,1809415.175,4.92898382443877
"Valle d'Aosta/Vallée d'Aoste","ITC2",2019,30911,199118.9775,6.44168669729223
"Veneto","ITH3",2019,2020429,13402150.5618,6.63331924150762
"Vest","RO42",2019,686399,3691086.2913,5.37746455239591
"Vidurio ir vakarų Lietuvos regionas","LT02",2019,635775,3290520.0847,5.17560471031418
"Vorarlberg","AT34",2019,142207,784486.6868,5.51651245578628
"Västsverige","SE23",2019,784824,4432402.6651,5.64763904404045
"Východné Slovensko","SK04",2019,173292,1071695.6583,6.18433429298525
"Warmińsko-mazurskie","PL62",2019,198407,1394895.8316,7.03047690656076
"Warszawski stołeczny","PL91",2019,622916,4156118.7746,6.67203728046799
"Weser-Ems","DE94",2019,1059658,5137341.0546,4.84811236700898
"West Central Scotland","UKM8",2019,178495,974034.328,5.45692780189921
"West Midlands","UKG3",2019,532571,3222210.6855,6.05029317311682
"West Wales and The Valleys","UKL1",2019,367254,2399856.2966,6.53459539337897
"West Yorkshire","UKE4",2019,472902,2824772.7186,5.97327293731048
"Wielkopolskie","PL41",2019,553936,3853751.4704,6.95703379162936
"Wien","AT13",2019,654610,3263409.5632,4.98527300713402
"Zachodniopomorskie","PL42",2019,250381,1739753.8119,6.94842584660977
"Zeeland","NL34",2019,79275,423751.2268,5.34533240996531
"Zuid-Holland","NL33",2019,836582,4429007.362,5.29417004190862
"Západné Slovensko","SK02",2019,217645,1327588.3071,6.09978776034368
"Área Metropolitana de Lisboa","PT17",2019,779125,3172800.0023,4.07226055164447
"Åland","FI20",2019,1929,7456.3103,3.86537599792639
"Észak-Alföld","HU32",2019,378115,2379241.7168,6.2923759089166
"Észak-Magyarország","HU31",2019,308375,1935918.8632,6.27780742018646
"Östra Mellansverige","SE12",2019,643569,3596871.5867,5.58894475448631
"Övre Norrland","SE33",2019,199275,977401.0331,4.90478501116548
"Łódzkie","PL71",2019,476742,3447723.1862,7.23184277072295
"Śląskie","PL22",2019,784761,5632724.2077,7.17763014178839
"Świętokrzyskie","PL72",2019,272960,2036634.1493,7.46129157861958
"Ήπειρος","EL54",2019,151925,706229.655,4.64854141846306
"Βόρειο Αιγαίο","EL41",2019,72983,335050.6623,4.59080419138704
"Δυτική Ελλάδα","EL63",2019,276535,1255287.4162,4.53934372213282
"Δυτική Μακεδονία","EL53",2019,121600,590668.2177,4.85746889555921
"Θεσσαλία","EL61",2019,298846,1425021.0627,4.7684127031983
"Ιόνια Νησιά","EL62",2019,76914,345108.7994,4.48694385157449
"Κεντρική Μακεδονία","EL52",2019,615428,3067661.5675,4.98459863298387
"Κρήτη","EL43",2019,220038,984927.6688,4.47617079231769
